timestamp,open,high,low,close,volume
2025-02-25 00:29:30.892837,100.99,101.22,100.98,100.99,6348
2025-02-26 00:29:30.892837,100.78,101.56,99.64,100.71,4584
2025-02-27 00:29:30.892837,101.27,103.01,100.79,102.02,3703
2025-02-28 00:29:30.892837,101.74,105.51,104.91,105.13,5468
2025-03-01 00:29:30.892837,104.94,104.88,103.76,104.63,4719
2025-03-02 00:29:30.892837,104.04,105.22,102.26,104.14,8891
2025-03-03 00:29:30.892837,104.36,107.82,105.81,107.43,2581
2025-03-04 00:29:30.892837,107.48,110.92,107.19,109.08,6124
2025-03-05 00:29:30.892837,108.99,109.18,107.98,108.06,3193
2025-03-06 00:29:30.892837,108.02,111.1,107.75,109.23,8266
2025-03-07 00:29:30.892837,109.07,109.56,107.98,108.22,6989
2025-03-08 00:29:30.892837,108.52,107.39,106.34,107.21,5178
2025-03-09 00:29:30.892837,106.69,108.6,107.39,107.73,6997
2025-03-10 00:29:30.892837,107.83,104.49,102.64,103.61,4419
2025-03-11 00:29:30.892837,103.53,100.29,96.55,100.03,1770
2025-03-12 00:29:30.892837,100.64,100.07,98.84,98.91,8901
2025-03-13 00:29:30.892837,99.3,98.61,96.5,96.9,3814
2025-03-14 00:29:30.892837,96.78,98.97,96.66,97.51,7881
2025-03-15 00:29:30.892837,97.01,96.07,94.73,95.74,7941
2025-03-16 00:29:30.892837,95.84,93.85,92.93,93.04,8648
2025-03-17 00:29:30.892837,93.42,97.41,95.3,95.77,5854
2025-03-18 00:29:30.892837,95.71,97.15,95.12,95.33,4472
2025-03-19 00:29:30.892837,95.32,96.82,93.84,95.46,5164
2025-03-20 00:29:30.892837,95.77,92.75,92.37,92.74,2906
2025-03-21 00:29:30.892837,93.3,93.05,89.74,91.73,7238
2025-03-22 00:29:30.892837,91.89,93.42,91.19,91.93,9472
2025-03-23 00:29:30.892837,92.19,90.64,89.76,89.82,5188
2025-03-24 00:29:30.892837,89.99,90.56,90.17,90.49,6585
2025-03-25 00:29:30.892837,90.34,89.88,88.68,89.41,7981
2025-03-26 00:29:30.892837,89.26,88.98,87.96,88.88,8240
2025-03-27 00:29:30.892837,88.65,88.87,87.78,87.82,7493
2025-03-28 00:29:30.892837,87.86,91.41,90.1,91.07,6811
2025-03-29 00:29:30.892837,90.73,91.75,90.55,91.04,9717
2025-03-30 00:29:30.892837,91.48,90.47,87.9,89.12,5621
2025-03-31 00:29:30.892837,89.25,90.81,89.8,90.58,7506
2025-04-01 00:29:30.892837,90.99,89.23,88.3,88.37,4086
2025-04-02 00:29:30.892837,88.24,90.92,88.48,88.74,9905
2025-04-03 00:29:30.892837,88.76,86.28,85.07,85.26,5632
2025-04-04 00:29:30.892837,85.49,83.72,82.82,83.0,8561
2025-04-05 00:29:30.892837,83.02,83.33,82.09,83.33,8943
2025-04-06 00:29:30.892837,83.83,85.28,83.3,84.56,3472
2025-04-07 00:29:30.892837,84.2,85.45,84.6,84.85,1876
2025-04-08 00:29:30.892837,84.8,85.15,84.23,84.65,2460
2025-04-09 00:29:30.892837,84.5,84.69,83.73,84.14,4735
2025-04-10 00:29:30.892837,84.31,82.36,79.61,81.65,6342
2025-04-11 00:29:30.892837,81.65,80.62,79.75,80.48,6560
2025-04-12 00:29:30.892837,80.9,80.09,79.51,79.73,7316
2025-04-13 00:29:30.892837,79.55,81.96,80.96,81.42,1224
2025-04-14 00:29:30.892837,81.84,83.46,81.8,81.98,3048
2025-04-15 00:29:30.892837,81.71,80.29,78.46,79.09,7988
2025-04-16 00:29:30.892837,79.1,79.81,79.08,79.6,1009
2025-04-17 00:29:30.892837,79.75,80.57,77.42,78.99,2619
2025-04-18 00:29:30.892837,78.72,78.71,77.27,77.92,3832
2025-04-19 00:29:30.892837,78.22,78.93,78.07,78.87,8984
2025-04-20 00:29:30.892837,79.03,80.87,80.14,80.5,2908
2025-04-21 00:29:30.892837,80.62,82.14,81.93,82.0,6951
